Species	Status	min_age	max_age
Lynx	extinct	1.8	4.9
Machairodontinae	extinct	1.8	4.9
Miracinonyx_studeri	extinct	1.8	4.9
Felis_rexroadensis	extinct	2.588	3.6
Felidae	extinct	1.8	4.9
Felis_rexroadensis	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Lynx	extinct	1.8	4.9
Smilodon_gracilis	extinct	1.8	4.9
Smilodon_gracilis	extinct	1.8	4.9
Smilodon_gracilis	extinct	1.8	4.9
Lynx	extinct	1.8	4.9
Homotherium	extinct	1.8	4.9
Miracinonyx_inexpectatus	extinct	1.8	4.9
Miracinonyx_inexpectatus	extinct	1.8	4.9
Smilodon_gracilis	extinct	1.8	4.9
Homotherium	extinct	1.8	4.9
Miracinonyx_inexpectatus	extinct	1.8	4.9
Homotherium_idahoensis	extinct	1.8	4.9
Puma_concolor	extant	1.8	4.9
Puma_concolor	extant	1.8	4.9
Puma_concolor	extant	1.8	4.9
Felidae	extinct	1.8	4.9
Megantereon_hesperus	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Felis_rexroadensis	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Homotherium_idahoensis	extinct	1.8	4.9
Felis_lacustris	extinct	1.8	4.9
Homotherium_idahoensis	extinct	1.8	4.9
Homotherium	extinct	1.8	4.9
Lynx	extinct	1.8	4.9
Felinae	extinct	1.8	4.9
Felis_rexroadensis	extinct	1.8	4.9
Felis_rexroadensis	extinct	1.8	4.9
Megantereon_hesperus	extinct	1.8	4.9
Felis_rexroadensis	extinct	1.8	4.9
Smilodon	extinct	1.8	4.9
Homotherium	extinct	1.8	4.9
Megantereon_hesperus	extinct	1.8	4.9
Homotherium_crusafonti	extinct	1.8	4.9
Homotherium	extinct	1.8	4.9
Smilodon	extinct	1.8	4.9
Machairodontinae	extinct	1.8	4.9
Felinae	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Felidae	extinct	0.3	1.8
Homotherium	extinct	1.8	4.9
Felis_lacustris	extinct	1.8	4.9
Dinofelis_palaeoonca	extinct	1.8	4.9
Dinofelis_palaeoonca	extinct	1.8	4.9
Felis_lacustris	extinct	1.8	4.9
Dinofelis_palaeoonca	extinct	1.8	4.9
Homotherium	extinct	1.8	4.9
Felis_lacustris	extinct	1.8	4.9
Miracinonyx_studeri	extinct	1.8	4.9
Lynx_rufus	extant	1.8	4.9
Homotherium_johnstoni	extinct	1.8	4.9
Homotherium	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Homotherium	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Felis_rexroadensis	extinct	1.8	4.9
Lynx_rufus	extant	1.8	4.9
Felis_lacustris	extinct	1.8	4.9
Dinofelis_palaeoonca	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Felinae	extinct	1.8	4.9
Machairodontinae	extinct	1.8	4.9
Felidae	extinct	1.8	4.9
Miracinonyx_studeri	extinct	1.8	4.9
Machairodus	extinct	1.8	4.9
Megantereon	extinct	1.8	4.9
Lynx_rufus	extant	1.8	4.9
Felinae	extinct	1.8	4.9
Puma_concolor	extant	1.8	4.9
Lynx_rufus	extant	1.8	4.9
Felinae	extinct	1.8	4.9
Felis_lacustris	extinct	1.8	4.9
Lynx_rufus	extant	1.8	4.9
Puma_concolor	extant	1.8	4.9
Felis_lacustris	extinct	1.8	4.9
Felinae	extinct	1.8	4.9
Puma_concolor	extant	1.8	4.9
Felis_lacustris	extinct	1.8	4.9
Lynx_rufus	extant	1.8	4.9
Felinae	extinct	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Felinae	extinct	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Homotherium_serum	extinct	0.3	1.8
Felidae	extinct	0.3	1.8
Miracinonyx_inexpectatus	extinct	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Felidae	extinct	0.3	1.8
Panthera_leo_atrox	extinct	0.3	1.8
Felidae	extinct	0.3	1.8
Smilodon_fatalis	extinct	0.3	1.8
Puma_concolor	extant	0.3	1.8
Puma	extinct	0.3	1.8
Homotherium_serum	extinct	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Smilodon_fatalis	extinct	0.3	1.8
Panthera_leo_atrox	extinct	0.3	1.8
Panthera_onca	extant	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Puma_concolor	extant	0.3	1.8
Felinae	extinct	0.3	1.8
Panthera_onca	extant	0.3	1.8
Smilodon_fatalis	extinct	0.3	1.8
Panthera_onca	extant	0.3	1.8
Smilodon	extinct	0.3	1.8
Miracinonyx_inexpectatus	extinct	0.3	1.8
Panthera_onca	extant	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Miracinonyx	extinct	0.3	1.8
Smilodon_fatalis	extinct	0.3	1.8
Panthera_onca	extant	0.3	1.8
Miracinonyx_studeri	extinct	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Panthera_leo_atrox	extinct	0.3	1.8
Puma_concolor	extant	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Felinae	extinct	0.3	1.8
Smilodon_gracilis	extinct	0.3	1.8
Lynx_rufus	extant	0.3	1.8
Miracinonyx_inexpectatus	extinct	0.3	1.8
Panthera_leo_atrox	extinct	0.3	1.8
Panthera_onca	extant	0.3	1.8
