"collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"71335","col","","-42.614445","-8.930833","Garrincho","","","1","Late Pleistocene","","0.126","0.0117","23910"
"71341","col","","-72.599998","-51.051388","Cueva del Mylodon, Level C","","","1","Late Pleistocene","","0.126","0.0117","24013"
"71345","col","","-99.815277","24.099443","San Josecito Cave","","","2","Late Pleistocene","","0.126","0.0117","24078"
"71346","col","","-80.500000","-4.700000","Talara Tar Seeps","","","1","Late Pleistocene","","0.126","0.0117","24009"
"71587","col","","-67.400002","-17.150000","Yaco, La Paz, Bolivia","","","1","Pleistocene","","2.588","0.0117","19694"
"73686","col","","120.000000","23.000000","Penghu Channel","","Between Penghu Island and Taiwan","1","Late Pleistocene","","0.126","0.0117","24700"
"74143","col","","-78.283333","38.849998","Limeton Lime Company Quarry","","","2","Pleistocene","","2.588","0.0117","24886"
"74292","col","","-80.599998","28.083332","Melbourne No. 2 Bed","","","1","Late Pleistocene","","0.126","0.0117","24947"
"76059","col","","-104.449997","32.366669","Dry Cave","","UTEP Locality 1, UTEP Locality 5, UTEP Locality 26","1","Late Pleistocene","","0.126","0.0117","25748"
"79683","col","","-97.683334","30.633333","Laubach Cave","","","1","Late Pleistocene","","0.126","0.0117","26776"
"79757","col","","-80.334724","32.479443","Edisto Beach","","","2","Rancholabrean","","0.3","0.012","26822"
"84183","col","","-85.339447","35.018890","Ruby Falls Cave","","","1","Pleistocene","","2.588","0.0117","28175"
"86852","col","","-86.343887","34.741390","Fern Cave","","","1","Pleistocene","","2.588","0.0117","29235"
"90036","col","","-5.341389","36.126667","Vangaurd Cave","","","1","Late Pleistocene","","0.126","0.0117","30172"
"90752","col","","-89.874443","37.752220","Crevice Cave","","","1","Pleistocene","","2.588","0.0117","30545"
"90753","col","","-89.891670","37.773609","Berome Moore Cave","","","1","Pleistocene","","2.588","0.0117","30545"
"90754","col","","-92.199997","37.833332","Bat Cave","","","1","Pleistocene","","2.588","0.0117","30545"
"92787","col","","110.217781","33.134167","Huanglong Cave","","Huanglongdong","1","Late Pleistocene","","0.126","0.0117","31309"
"92814","col","","-56.583332","-21.133333","Japones Cave","","","1","Pleistocene","Holocene","2.588","0","31331"
"93181","col","","-108.199997","44.983334","Natural Trap Cave (Wisconsinan)","","","1","Late Pleistocene","","0.126","0.0117","31486"
"93244","col","","-112.250000","32.466667","Ventana Cave Volcanic Debris Layer","","","1","Late Pleistocene","","0.126","0.0117","31520"
"93252","col","","-84.433334","35.533333","Craighead Caverns","","","1","Late Pleistocene","Holocene","0.126","0","31526"
"93277","col","","-105.683334","42.783333","Little Box Elder Cave","","LBEC","1","Late Pleistocene","","0.126","0.0117","31561"
"93372","col","","-85.966667","34.983334","Little Salt River Cave","","","1","Pleistocene","","2.588","0.0117","31594"
"93373","col","","-85.466667","35.933334","Saltpeter Cave","","","1","Pleistocene","","2.588","0.0117","31594"
"93521","col","","111.349998","-7.366667","Trinil","","","1","Early Pleistocene","","2.588","0.781","31625"
"93522","col","","111.660835","-7.411667","Kedung Brubus","","","1","Early Pleistocene","","2.588","0.781","31625"
"93523","col","","111.446388","-7.341667","Ngandong","","","1","Late Pleistocene","","0.126","0.0117","31625"
"93524","col","","111.029167","-8.137222","Punung","","","1","Late Pleistocene","","0.126","0.0117","31625"
"93828","col","","-0.958889","54.262222","Kirkdale Cave","","","1","Late Pleistocene","","0.126","0.0117","31900"
"94328","col","","14.658611","37.397778","Island fossil ungulates and their predators","","","1","Early Pleistocene","Late Pleistocene","2.588","0.0117","32076"
"96782","col","","-2.249444","50.081112","Victoria Cave","","","1","Late Pleistocene","","0.126","0.0117","33015"
"96973","col","","23.400000","-34.099998","Nelson Bay Cave, Holocene","","","1","Holocene","","0.0117","0","33119"
"101897","col","","141.434174","41.406113","Shiriya, Locality 2","","","1","Late Pleistocene","","0.126","0.0117","34644"
"101899","col","","141.429718","41.401943","Shiriya, Locality 3-2","","","1","Late Pleistocene","","0.126","0.0117","34644"
"104033","col","","-79.740280","37.502777","Arcadia Cave #1 & #2","","","1","Holocene","","0.0117","0","1461"
"104680","col","","-78.500557","38.667221","Luray Caverns","","","1","Late Pleistocene","Holocene","0.126","0","1461"
"109703","col","","4.053056","51.958057","Maasvlakte, Fauna II","","Meuse Levels, Beer canal","1","Late Pleistocene","","0.126","0.0117","36257"
"115184","col","","16.576942","-29.768505","Boegoeberg 1","","","1","Late Pleistocene","","0.126","0.0117","37303"
"115191","col","","18.452728","-32.387051","Diepkloof Rock Shelter","","","1","Pleistocene","","2.588","0.0117","37306"
"120834","col","","113.580559","24.674168","Lion Rock","","Lion Hill; Maba","1","Middle Pleistocene","","0.781","0.126","38591"
"133644","col","","-78.602997","-1.765000","Punín, Chalán","","Chalán","1","Pleistocene","","2.588","0.0117","43044"
"136498","col","","-41.056667","-10.931111","Toca dos Ossos","","","1","Late Pleistocene","Holocene","0.126","0","43594"
"141367","col","","-69.741943","-52.093613","Cueva de los Chingues","","","1","Late Pleistocene","","0.126","0.0117","45971"
"144976","col","","-81.091393","-4.689722","La Brea (Talara)","","","1","Late Pleistocene","","0.126","0.0117","46836"
"145508","col","","-77.446945","-8.316111","Celendín (~2500 m including Llaucán)","","","1","Pleistocene","","2.588","0.0117","46859"
"147609","col","","-48.583332","-24.583332","Megafauna Upper Ribeira","","","1","Pleistocene","Holocene","2.588","0","47532"
"147815","col","","-48.583332","-24.583332","Grutas Calcareas Iporanga","","","1","Pleistocene","Holocene","2.588","0","47558"
"152009","col","","-118.357002","34.063999","Rancho La Brea, Pit 13 (12.5 ft depth)","150336","","1","Rancholabrean","","0.3","0.012","48910"
"152265","col","Zanda","79.749168","31.666111","Zanda (ZD1001)","","","1","Late Miocene","Early Pliocene","11.608","3.6","48969"
"152266","col","Zanda","79.722992","31.701990","Zanda (ZD1208)","","","1","Late Miocene","Early Pliocene","11.608","3.6","48969"
"152267","col","Zanda","79.816032","31.509304","Zanda (ZD1223)","","","1","Late Miocene","Early Pliocene","11.608","3.6","48969"
"154722","col","","-80.400002","25.700001","Cutler Hammock","","UF DA004","2","Late Pleistocene","","0.126","0.0117","50316"
"154771","col","","-82.699997","27.799999","Seminole Field","","","1","Late Pleistocene","","0.126","0.0117","50335"
"154804","col","","-81.900002","27.170000","Peace River 3A","","UF DE015","1","Late Pleistocene","","0.126","0.0117","50371"
"154805","col","","-82.476387","29.407499","Devil's Den","","UF LV002","1","Late Pleistocene","","0.126","0.0117","2451"
"155393","col","","-122.281998","40.784000","Potter Creek Cave","","","1","Late Pleistocene","","0.126","0.0117","50711"
"161194","col","","-91.402779","31.559723","Natchez Ravines","","","1","Pleistocene","","2.588","0.0117","52516"
"183123","col","","23.166668","40.374722","Petralona Cave (Old & New Collection)","","Kokkinon Petron Cave","1","Pleistocene","","2.588","0.0117","61122"
"183152","col","","27.756001","-25.989000","Drimolen Main Quarry","","","2","Early Pleistocene","","2.588","0.781","61133"
