"collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"21807","col","Vogel River Series","35.183300","-3.240300","Laetoli - Loc. 9S","","ETE Locality 625, Laetoli - Loc. 9S, ","1","Piacenzian","","3.6","2.588","4451"
"21811","col","Vogel River Series","35.213902","-3.212500","Laetoli - Loc. 11","","ETE Locality 629, Laetoli - Loc. 11, ","1","Piacenzian","","3.6","2.588","4451"
"21813","col","Vogel River Series","35.188900","-3.244400","Laetoli - Loc. 9S","","ETE Locality 631, Laetoli - Loc. 9S, ","1","Piacenzian","","3.6","2.588","4451"
"21821","col","Sterkfontein","27.733601","-26.016899","Sterkfontein - Member 2","","ETE Locality 639, Sterkfontein - Member 2, ","1","Pliocene","","5.333","2.588","4867"
"21822","col","Sterkfontein","27.733601","-26.016701","Sterkfontein - Member 5","","ETE Locality 640, Middle Breccia, Sterkfontein - Member 5, ","1","Calabrian","","1.806","0.781","4867"
"21824","col","Swartkrans","27.720800","-26.016701","Swartkrans - Member 1","","ETE Locality 642, Orange Breccia, Pink Breccia","2","Early Pleistocene","","2.588","0.781","4896"
"21825","col","Swartkrans","27.720800","-26.016701","Swartkrans - Member 2","","ETE Locality 643, Brown Breccia, Swartkrans - Member 2, ","2","Pleistocene","","2.588","0.0117","4892"
"21826","col","Swartkrans","27.720800","-26.016701","Swartkrans - Channel Fill","","ETE Locality 644, Swartkrans - Channel Fill, ","1","Pliocene","Pleistocene","5.333","0.0117","4868"
"21827","col","Swartkrans","27.720800","-26.016701","Swartkrans - SKR Block","","ETE Locality 645, Swartkrans - SKR Block, ","1","Pliocene","","5.333","2.588","4895"
"21828","col","Swartkrans","27.720800","-26.016701","Swartkrans - Member 3","","ETE Locality 646, Fire Member, Swartkrans - Member 3, ","1","Pleistocene","","2.588","0.0117","4888"
"21829","col","Swartkrans","27.720800","-26.016701","Swartkrans - Member 5","","ETE Locality 647, Swartkrans - Member 5, ","1","Pleistocene","","2.588","0.0117","4895"
"21830","col","Vogel River Series","35.206902","-3.204200","Laetoli - Loc. 3","","ETE Locality 648, Laetoli - Loc. 3, ","1","Zanclean","Piacenzian","5.333","2.588","4451"
"21856","col","","5.916700","35.750000","Mugharet el 'Aliya","","ETE Locality 675, Mugharet el 'Aliya, ","2","Pleistocene","Holocene","2.588","0","5211"
"21857","col","","5.916700","35.750000","Mugharet el Khail","","ETE Locality 676, Mugharet el Khail, ","1","Pleistocene","Holocene","2.588","0","5212"
"21859","col","","5.916700","35.750000","Mugharet es Saifiya","","ETE Locality 678, Mugharet es Saifiya, ","1","Pleistocene","Holocene","2.588","0","5212"
"21864","col","","21.583300","32.733299","Hagfet ed Dabba","","ETE Locality 683, Hagfet ed Dabba, ","1","Pleistocene","","2.588","0.0117","5217"
"21893","col","","35.000000","-3.666700","Lake Eyasi","","ETE Locality 712, Lake Eyasi, ","1","Middle Pleistocene","Late Pleistocene","0.781","0.0117","5226"
"21894","col","","31.933300","-14.402200","Makwe Rock Shelter","","ETE Locality 713, Makwe Rock Shelter, ","1","Holocene","","0.0117","0","5210"
"21896","col","","23.033300","-28.205601","Doornfontein 1","","ETE Locality 715, Doornfontein 1, ","1","Holocene","","0.0117","0","5227"
"21912","col","","25.866699","-30.233299","Riversmead Shelter","","ETE Locality 731, Riversmead Shelter, ","1","Holocene","","0.0117","0","5214"
"21916","col","","24.400000","-34.099998","Klasies River Mouth Main Site","","ETE Locality 735, Klasies River Mouth Main Site, ","1","Pleistocene","","2.588","0.0117","5235"
"21918","col","","24.400000","-34.099998","Klasies River Mouth Cave 1 LSA","","ETE Locality 737, Klasies River Mouth Cave 1 LSA, ","1","Holocene","","0.0117","0","5234"
"21922","col","","18.833300","-33.383301","Kasteelberg Midden B","","ETE Locality 741, Kasteelberg Midden B, ","1","Holocene","","0.0117","0","5236"
"21925","col","","31.416700","-26.416700","Mlawula","","ETE Locality 744, Mlawula, ","1","Pleistocene","Holocene","2.588","0","5237"
"21929","col","","17.950001","-33.023102","Sea Harvest Site","","ETE Locality 748, Sea Harvest Site, ","2","Pleistocene","","2.588","0.0117","5238"
"21931","col","","18.683300","-34.083302","Swartklip 1","","ETE Locality 750, Swartklip 1, ","2","Pleistocene","","2.588","0.0117","5241"
"21933","col","","36.416698","-0.716700","Naivasha Railway Shelter","","ETE Locality 752, Naivasha Railway Shelter, ","1","Holocene","","0.0117","0","5243"
"21940","col","","25.500000","-30.666700","Blydefontein Shelter","","ETE Locality 759, Blydefontein Shelter, ","1","Holocene","","0.0117","0","5214"
